X,Y,id,nama,npsn,ptk,ptk_laki,ptk_perempuan,pegawai,pegawai_laki,pegawai_perempuan,pd,pd_laki,pd_perempuan,rombel,kabupaten,kode_kabupaten,provinsi,kode_provinsi,alamat,status,jenjang,akreditasi,source,location_status
0,0,"424708",TK NEGERI LEBONG SAKTI/SATAP,"69799861",3,0,3,1,0,1,19,11,8,3,Lebong,"1707",Bengkulu,"17",Desa Ujung Tanjung III,negeri,TK,Belum Terakreditasi,kemdikbud,not-mapped
0,0,"424709",TK AKHLAK MULIA,"69912086",6,0,6,2,0,2,75,32,43,5,Lebong,"1707",Bengkulu,"17",Jln. Suka Bumi Kec. Lebong Sakti,swasta,TK,B,kemdikbud,not-mapped
0,0,"424711",KB AISYIYAH 5,"69949976",0,0,0,1,0,1,0,0,0,0,Lebong,"1707",Bengkulu,"17",JL. RAYA UJUNG TANJUNG II,swasta,KB,C,kemdikbud,not-mapped
102.1817468,-3.1501062,"424716",SDN 16 LEBONG,"10701924",19,2,17,2,1,1,96,48,48,6,Lebong,"1707",Bengkulu,"17",KELURAHAN TANJUNG AGUNG,negeri,SD,B,kemdikbud,valid
0,0,"424729",SPS ZAQILLAH,"69932298",2,2,0,1,0,1,0,0,0,0,Lebong,"1707",Bengkulu,"17",JALAN DESA SUKAU RAJO,swasta,SPS,C,kemdikbud,not-mapped
102.2135883,-3.13261,"424730",SDN 02 LEBONG,"10701908",10,2,8,3,0,3,99,50,49,6,Lebong,"1707",Bengkulu,"17",Paya Embik,negeri,SD,B,kemdikbud,valid
102.2121983,-3.1134967,"424731",SDN 04 LEBONG,"10701910",13,4,9,2,0,2,34,25,9,6,Lebong,"1707",Bengkulu,"17",Desa Sukau Rajo Kec. Amen Kab. Lebong,negeri,SD,C,kemdikbud,valid
102.2305483,-3.1205717,"424733",SDN 07 LEBONG,"10701913",12,3,9,3,1,2,99,56,43,6,Lebong,"1707",Bengkulu,"17",Garut,negeri,SD,B,kemdikbud,valid
102.20582,-3.1219283,"424736",SDN 42 LEBONG,"10701974",13,0,13,0,0,0,166,97,69,9,Lebong,"1707",Bengkulu,"17",Kelurahan  Amen,negeri,SD,B,kemdikbud,valid
102.232482,-3.103195,"424740",KB AL IKLAS,"69912076",1,0,1,1,1,0,10,9,1,2,Lebong,"1707",Bengkulu,"17",Jln. Kota Baru Kec. Uram Jaya,swasta,KB,C,kemdikbud,valid
0,0,"424744",MUARA KASIH,"69786113",3,0,3,1,1,0,42,23,19,3,Lebong,"1707",Bengkulu,"17",JALAN RAYA KOTA BARU,swasta,KB,,kemdikbud,not-mapped
102.3914,-3.0692,"424746",SDN 31 LEBONG,"10701961",11,3,8,3,2,1,63,35,28,6,Lebong,"1707",Bengkulu,"17",Kota Agung,negeri,SD,C,kemdikbud,valid
0,0,"424751",KB TIK SERDANG,"69911933",1,1,0,1,0,1,31,11,20,2,Lebong,"1707",Bengkulu,"17",Jln. Bioa Putiak kel. Pinang Belapis,swasta,KB,C,kemdikbud,not-mapped
102.1983631,-3.1172085,"443698",MTSN 1 LEBONG,"10704072",35,13,22,2,,,395,180,215,13,Lebong,"1707",Bengkulu,"17",JL. KAMPUNG JAWA NO.07 TUNGGANG LEBONG UTARA LEBONG BENGKULU,negeri,MTs,A,kemenag,valid
102.1962913,-3.1090395,"444323",MIN 1 LEBONG,"60705313",22,5,17,3,,,382,192,190,16,Lebong,"1707",Bengkulu,"17",JALAN GAJAH MADA NO. 01 KAMPUNG JAWA LEBONG UTARA LEBONG BENGKULU,negeri,MI,A,kemenag,valid
102.3177522,-3.205864,"445739",RA PELITA PLTA TES,"69731632",10,0,10,0,,,76,40,36,5,Lebong,"1707",Bengkulu,"17",Lebong selatan TES LEBONG SELATAN LEBONG BENGKULU,swasta,RA,B,kemenag,valid
102.3493501,-3.2289749,"461352",MTSN 2 LEBONG,"10704070",22,12,10,0,,,54,26,28,4,Lebong,"1707",Bengkulu,"17",Jl. Raya Curup- Muara Aman KUTAI DONOK LEBONG SELATAN LEBONG BENGKULU,negeri,MTs,C,kemenag,valid
102.2815253,-3.167811,"471506",MAN 1 LEBONG,"10704001",32,12,20,2,,,142,77,65,8,Lebong,"1707",Bengkulu,"17",JALAN SERBAN KUNING DESA PELABUHAN TALANG LEAK PELABUHAN TALANG LIAK BINGIN KUNING LEBONG BENGKULU,negeri,MA,A,kemenag,valid
